time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,
0,7.55511,-1.62895,0.153913,8.02021,-2.38795,0.0426407,6.16,-1.35801,0.0355102,5.77783,-1.95247,-0.147671,0,6.16,-1.01013,0.58501,5.768,-1.38895,0.738589,0,6.16,-1.24892,0.468734,5.69287,-1.75398,0.567829,0,6.16,-0.557663,0.699862,6.01837,-0.850759,0.826024,0,6.16,-1.09967,0.667742,5.80358,-1.54701,0.859043,0,6.16,-1.64163,0.107134,5.56393,-2.41027,-0.039721,0,6.16,-1.1563,0.413326,5.75926,-1.62196,0.463052,0,6.16,-0.821182,0.405532,5.94725,-1.1877,0.416517,0,6.16,-0.695959,0.569843,5.94308,-0.998847,0.661907,0,6.16,-0.762651,0.679048,5.9367,-1.09418,0.826901,0,6.16,-1.17386,0.267772,5.76385,-1.65191,0.226789,0,6.16,-1.28977,0.20783,5.73586,-1.83258,0.130925,0,6.16,-1.57622,0.288366,5.64004,-2.298,0.272029,0,6.16,-1.55645,0.60989,5.66108,-2.26535,0.8137,0,6.16,-0.593212,0.251015,5.9722,-0.867491,0.185185,0,6.16,-1.47046,0.381911,5.6586,-2.11967,0.428592,0,6.16,-1.05394,0.356993,5.82061,-1.48136,0.362827,0,6.16,-0.729044,0.285871,5.85735,-0.992808,0.247217,0,6.16,-1.00411,0.249636,5.86182,-1.42126,0.190735,0,6.16,-0.652503,0.409013,5.9259,-0.922122,0.425594,0,6.16,-1.52173,0.48824,5.60546,-2.20237,0.621317,0,6.16,-0.528243,0.376394,5.99276,-0.788335,0.365964,0,6.16,-0.85441,0.244646,5.87275,-1.19572,0.182304,0,6.16,-0.59651,0.127703,5.95441,-0.859164,0.00382999,0,6.16,-1.43781,0.243549,5.68564,-2.0681,0.192638,0,6.16,-1.36197,0.406203,5.65266,-1.93487,0.470787,0,6.16,-1.00635,0.100452,5.84142,-1.4156,-0.0408528,0,6.16,-0.826997,0.123693,5.88413,-1.16006,-0.00363094,0,6.16,-1.18625,0.137649,5.56269,-1.60813,0.0139911,0,6.16,-0.998069,0.461943,5.83716,-1.40075,0.524643,0,6.16,-1.53781,0.187119,5.75356,-2.23988,0.0965899,0,6.16,-1.57842,0.386324,5.73122,-2.30504,0.423965,0,6.16,-1.52269,0.055846,5.58349,-2.20235,-0.128646,0,6.16,-0.921214,0.340997,5.94007,-1.3327,0.321588,0,
0.033334,7.55537,-1.61979,0.153826,8.02357,-2.37323,0.0429997,6.16,-1.35801,0.0355102,5.88568,-1.98249,-0.137135,0,6.16,-1.01013,0.58501,5.80847,-1.41141,0.727364,0,6.16,-1.24892,0.468734,5.76225,-1.78025,0.552491,0,6.16,-0.557663,0.699862,6.0451,-0.877606,0.815776,0,6.16,-1.09967,0.667742,5.86808,-1.57975,0.83612,0,6.16,-1.64163,0.107134,5.65628,-2.41772,-0.0347078,0,6.16,-1.1563,0.413326,5.82192,-1.64995,0.45183,0,6.16,-0.821182,0.405532,5.98835,-1.21809,0.410964,0,6.16,-0.695959,0.569843,5.97906,-1.02944,0.648853,0,6.16,-0.762651,0.679048,5.98086,-1.13039,0.811083,0,6.16,-1.17386,0.267772,5.83448,-1.6821,0.220773,0,6.16,-1.28977,0.20783,5.80338,-1.85571,0.128505,0,6.16,-1.57622,0.288366,5.70533,-2.30646,0.265458,0,6.16,-1.55645,0.60989,5.74154,-2.27676,0.787022,0,6.16,-0.593212,0.251015,6.01617,-0.908976,0.184244,0,6.16,-1.47046,0.381911,5.73471,-2.13601,0.415683,0,6.16,-1.05394,0.356993,5.8739,-1.50896,0.355909,0,6.16,-0.729044,0.285871,5.90965,-1.03557,0.242966,0,6.16,-1.00411,0.249636,5.91257,-1.45056,0.187013,0,6.16,-0.652503,0.409013,5.95911,-0.951723,0.420003,0,6.16,-1.52173,0.48824,5.67715,-2.21491,0.604428,0,6.16,-0.528243,0.376394,6.03573,-0.831196,0.362038,0,6.16,-0.85441,0.244646,5.9219,-1.22986,0.178868,0,6.16,-0.59651,0.127703,5.99478,-0.897281,0.00343762,0,6.16,-1.43781,0.243549,5.76841,-2.08676,0.182212,0,6.16,-1.36197,0.406203,5.72842,-1.95738,0.456575,0,6.16,-1.00635,0.100452,5.93643,-1.46975,-0.0354126,0,6.16,-0.826997,0.123693,5.94821,-1.20559,0.000152767,0,6.16,-1.18625,0.137649,5.64234,-1.64216,0.0147446,0,6.16,-0.998069,0.461943,5.92499,-1.45068,0.51013,0,6.16,-1.53781,0.187119,5.82375,-2.24935,0.0939935,0,6.16,-1.57842,0.386324,5.80177,-2.31402,0.411016,0,6.16,-1.52269,0.055846,5.6634,-2.2154,-0.122245,0,6.16,-0.921214,0.340997,6.01036,-1.37623,0.313182,0,
0.0666681,7.55725,-1.59465,0.154102,8.02236,-2.37843,0.0428734,6.16,-1.35801,0.0355102,6.04813,-2.03841,-0.133059,0,6.16,-1.01013,0.58501,5.87612,-1.46574,0.696453,0,6.16,-1.24892,0.468734,5.8528,-1.82661,0.519892,0,6.16,-0.557663,0.699862,6.09011,-0.936967,0.7866,0,6.16,-1.09967,0.667742,5.95049,-1.63213,0.788614,0,6.16,-1.64163,0.107134,5.74066,-2.43703,-0.0386903,0,6.16,-1.1563,0.413326,5.88999,-1.69372,0.42899,0,6.16,-0.821182,0.405532,6.04915,-1.27593,0.388446,0,6.16,-0.695959,0.569843,6.01392,-1.07311,0.629834,0,6.16,-0.762651,0.679048,6.03178,-1.18551,0.782339,0,6.16,-1.17386,0.267772,5.91311,-1.72903,0.205557,0,6.16,-1.28977,0.20783,5.89995,-1.90201,0.117641,0,6.16,-1.57622,0.288366,5.75284,-2.32491,0.251844,0,6.16,-1.55645,0.60989,5.91063,-2.30866,0.712726,0,6.16,-0.593212,0.251015,6.06581,-0.967721,0.17116,0,6.16,-1.47046,0.381911,5.81103,-2.16418,0.393166,0,6.16,-1.05394,0.356993,5.96415,-1.5692,0.330461,0,6.16,-0.729044,0.285871,5.96532,-1.09215,0.226709,0,6.16,-1.00411,0.249636,6.00902,-1.51754,0.169425,0,6.16,-0.652503,0.409013,6.01281,-1.01277,0.39976,0,6.16,-1.52173,0.48824,5.74703,-2.24001,0.578666,0,6.16,-0.528243,0.376394,6.08522,-0.893086,0.343388,0,6.16,-0.85441,0.244646,5.98648,-1.28799,0.165861,0,6.16,-0.59651,0.127703,6.05056,-0.961873,-0.00315462,0,6.16,-1.43781,0.243549,5.80243,-2.10709,0.175484,0,6.16,-1.36197,0.406203,5.83004,-1.99873,0.427096,0,6.16,-1.00635,0.100452,6.012,-1.52503,-0.0375908,0,6.16,-0.826997,0.123693,6.00961,-1.2614,-0.00857951,0,6.16,-1.18625,0.137649,5.73873,-1.69476,0.00599475,0,6.16,-0.998069,0.461943,6.0366,-1.52602,0.471997,0,6.16,-1.53781,0.187119,5.92189,-2.2767,0.0821744,0,6.16,-1.57842,0.386324,5.94936,-2.34282,0.373864,0,6.16,-1.52269,0.055846,5.75043,-2.24283,-0.123491,0,6.16,-0.921214,0.340997,6.08291,-1.43395,0.291374,0,
0.100002,7.55725,-1.59465,0.154102,8.02808,-2.35311,0.0434923,6.16,-1.35801,0.0355102,6.23441,-2.06619,-0.131246,0,6.16,-1.01013,0.58501,6.06586,-1.54754,0.617772,0,6.16,-1.24892,0.468734,6.04237,-1.87317,0.460446,0,6.16,-0.557663,0.699862,6.20881,-1.02681,0.720683,0,6.16,-1.09967,0.667742,6.12992,-1.69643,0.706033,0,6.16,-1.64163,0.107134,5.90951,-2.43061,-0.049548,0,6.16,-1.1563,0.413326,6.03985,-1.73992,0.386094,0,6.16,-0.821182,0.405532,6.17758,-1.34358,0.348354,0,6.16,-0.695959,0.569843,6.15979,-1.1697,0.566254,0,6.16,-0.762651,0.679048,6.17747,-1.2742,0.707559,0,6.16,-1.17386,0.267772,6.05461,-1.76537,0.176351,0,6.16,-1.28977,0.20783,6.00587,-1.91964,0.100968,0,6.16,-1.57622,0.288366,5.90832,-2.32762,0.22259,0,6.16,-1.55645,0.60989,6.07053,-2.30858,0.64788,0,6.16,-0.593212,0.251015,6.24436,-1.09739,0.13811,0,6.16,-1.47046,0.381911,5.97317,-2.17702,0.351377,0,6.16,-1.05394,0.356993,6.13686,-1.63628,0.291021,0,6.16,-0.729044,0.285871,6.13869,-1.20212,0.192123,0,6.16,-1.00411,0.249636,6.15106,-1.57449,0.145878,0,6.16,-0.652503,0.409013,6.17915,-1.12822,0.350339,0,6.16,-1.52173,0.48824,5.90118,-2.24689,0.525813,0,6.16,-0.528243,0.376394,6.2164,-0.994831,0.304828,0,6.16,-0.85441,0.244646,6.14721,-1.37279,0.138382,0,6.16,-0.59651,0.127703,6.19022,-1.06151,-0.0177913,0,6.16,-1.43781,0.243549,5.92121,-2.11859,0.154064,0,6.16,-1.36197,0.406203,6.00093,-2.02538,0.380959,0,6.16,-1.00635,0.100452,6.22829,-1.61441,-0.0388736,0,6.16,-0.826997,0.123693,6.15838,-1.34195,-0.0216495,0,6.16,-1.18625,0.137649,5.91511,-1.74608,-0.00769609,0,6.16,-0.998069,0.461943,6.21381,-1.5963,0.413574,0,6.16,-1.53781,0.187119,6.03818,-2.27543,0.0661998,0,6.16,-1.57842,0.386324,6.09132,-2.33926,0.337893,0,6.16,-1.52269,0.055846,5.91273,-2.24984,-0.128046,0,6.16,-0.921214,0.340997,6.24599,-1.51046,0.25312,0,
0.133336,7.55784,-1.58467,0.15411,8.03042,-2.34281,0.0437437,6.16,-1.35801,0.0355102,6.31764,-2.08234,-0.132732,0,6.16,-1.01013,0.58501,6.1447,-1.58163,0.583008,0,6.16,-1.24892,0.468734,6.18923,-1.91907,0.419178,0,6.16,-0.557663,0.699862,6.29665,-1.09753,0.672988,0,6.16,-1.09967,0.667742,6.23146,-1.73618,0.657693,0,6.16,-1.64163,0.107134,6.03219,-2.4315,-0.0566712,0,6.16,-1.1563,0.413326,6.18153,-1.79318,0.349122,0,6.16,-0.821182,0.405532,6.24699,-1.38533,0.326358,0,6.16,-0.695959,0.569843,6.26528,-1.24375,0.522576,0,6.16,-0.762651,0.679048,6.2783,-1.34014,0.657292,0,6.16,-1.17386,0.267772,6.1507,-1.79868,0.158415,0,6.16,-1.28977,0.20783,6.16211,-1.96176,0.0816201,0,6.16,-1.57622,0.288366,5.98124,-2.32959,0.205331,0,6.16,-1.55645,0.60989,6.12955,-2.31043,0.619737,0,6.16,-0.593212,0.251015,6.37427,-1.1966,0.117528,0,6.16,-1.47046,0.381911,6.07427,-2.1901,0.324697,0,6.16,-1.05394,0.356993,6.23902,-1.68092,0.266809,0,6.16,-0.729044,0.285871,6.26236,-1.28527,0.169352,0,6.16,-1.00411,0.249636,6.25212,-1.62245,0.129004,0,6.16,-0.652503,0.409013,6.26117,-1.18608,0.325036,0,6.16,-1.52173,0.48824,6.01068,-2.25738,0.488265,0,6.16,-0.528243,0.376394,6.29361,-1.05794,0.281961,0,6.16,-0.85441,0.244646,6.24063,-1.42715,0.122931,0,6.16,-0.59651,0.127703,6.26091,-1.11581,-0.0251879,0,6.16,-1.43781,0.243549,6.02345,-2.13514,0.136229,0,6.16,-1.36197,0.406203,6.10327,-2.04642,0.352345,0,6.16,-1.00635,0.100452,6.23219,-1.62217,-0.0559636,0,6.16,-0.826997,0.123693,6.27858,-1.41312,-0.0308225,0,6.16,-1.18625,0.137649,6.06051,-1.79445,-0.0182417,0,6.16,-0.998069,0.461943,6.29828,-1.63508,0.385791,0,6.16,-1.53781,0.187119,6.11567,-2.2838,0.0562284,0,6.16,-1.57842,0.386324,6.17488,-2.34231,0.313874,0,6.16,-1.52269,0.055846,6.04691,-2.26393,-0.129068,0,6.16,-0.921214,0.340997,6.34382,-1.56305,0.231252,0,
0.16667,7.55996,-1.55849,0.154532,8.0363,-2.31634,0.0443931,6.16,-1.35801,0.0355102,6.30425,-2.06585,-0.131496,0,6.16,-1.01013,0.58501,6.14879,-1.56905,0.581869,0,6.16,-1.24892,0.468734,6.21444,-1.91417,0.418147,0,6.16,-0.557663,0.699862,6.30349,-1.08727,0.671594,0,6.16,-1.09967,0.667742,6.23628,-1.72415,0.657954,0,6.16,-1.64163,0.107134,6.06365,-2.42291,-0.0502736,0,6.16,-1.1563,0.413326,6.20579,-1.78954,0.347795,0,6.16,-0.821182,0.405532,6.25554,-1.3773,0.324899,0,6.16,-0.695959,0.569843,6.27927,-1.24152,0.523304,0,6.16,-0.762651,0.679048,6.27891,-1.32408,0.65979,0,6.16,-1.17386,0.267772,6.16142,-1.79111,0.160247,0,6.16,-1.28977,0.20783,6.20969,-1.96213,0.0792743,0,6.16,-1.57622,0.288366,5.9841,-2.31917,0.208471,0,6.16,-1.55645,0.60989,6.12525,-2.29854,0.62501,0,6.16,-0.593212,0.251015,6.38148,-1.1857,0.118508,0,6.16,-1.47046,0.381911,6.08342,-2.18003,0.326837,0,6.16,-1.05394,0.356993,6.25283,-1.67358,0.265447,0,6.16,-0.729044,0.285871,6.28307,-1.28617,0.169064,0,6.16,-1.00411,0.249636,6.26451,-1.61576,0.130143,0,6.16,-0.652503,0.409013,6.26514,-1.1736,0.325101,0,6.16,-1.52173,0.48824,6.02223,-2.24723,0.489479,0,6.16,-0.528243,0.376394,6.31863,-1.06233,0.273757,0,6.16,-0.85441,0.244646,6.25889,-1.4261,0.123834,0,6.16,-0.59651,0.127703,6.27696,-1.11568,-0.0250481,0,6.16,-1.43781,0.243549,6.03222,-2.12523,0.139081,0,6.16,-1.36197,0.406203,6.11786,-2.03829,0.352744,0,6.16,-1.00635,0.100452,6.28792,-1.6338,-0.051392,0,6.16,-0.826997,0.123693,6.29917,-1.41138,-0.0310185,0,6.16,-1.18625,0.137649,6.08984,-1.79337,-0.014989,0,6.16,-0.998069,0.461943,6.31027,-1.62698,0.38225,0,6.16,-1.53781,0.187119,6.12765,-2.27412,0.0584205,0,6.16,-1.57842,0.386324,6.17314,-2.33054,0.317501,0,6.16,-1.52269,0.055846,6.07785,-2.25634,-0.124316,0,6.16,-0.921214,0.340997,6.34766,-1.55022,0.231447,0,
0.200004,7.56209,-1.53193,0.154971,8.03953,-2.30161,0.0447553,6.16,-1.35801,0.0355102,6.31581,-2.07396,-0.117939,0,6.16,-1.01013,0.58501,6.16241,-1.58341,0.594909,0,6.16,-1.24892,0.468734,6.34639,-1.9495,0.403883,0,6.16,-0.557663,0.699862,6.30879,-1.09835,0.686925,0,6.16,-1.09967,0.667742,6.29486,-1.75225,0.655208,0,6.16,-1.64163,0.107134,6.17937,-2.42101,-0.0357983,0,6.16,-1.1563,0.413326,6.27384,-1.81433,0.35084,0,6.16,-0.821182,0.405532,6.23112,-1.37263,0.345466,0,6.16,-0.695959,0.569843,6.33019,-1.27999,0.526848,0,6.16,-0.762651,0.679048,6.30394,-1.34426,0.667231,0,6.16,-1.17386,0.267772,6.14963,-1.79548,0.174824,0,6.16,-1.28977,0.20783,6.26927,-1.97941,0.0915842,0,6.16,-1.57622,0.288366,5.97924,-2.32691,0.22263,0,6.16,-1.55645,0.60989,6.17487,-2.30736,0.623138,0,6.16,-0.593212,0.251015,6.35619,-1.1742,0.136533,0,6.16,-1.47046,0.381911,6.16192,-2.19335,0.331951,0,6.16,-1.05394,0.356993,6.27886,-1.68883,0.275002,0,6.16,-0.729044,0.285871,6.38553,-1.35438,0.18124,0,6.16,-1.00411,0.249636,6.29732,-1.63505,0.143682,0,6.16,-0.652503,0.409013,6.29134,-1.19987,0.338851,0,6.16,-1.52173,0.48824,6.17246,-2.262,0.46891,0,6.16,-0.528243,0.376394,6.40912,-1.13975,0.281209,0,6.16,-0.85441,0.244646,6.28533,-1.4445,0.136897,0,6.16,-0.59651,0.127703,6.33568,-1.16232,-0.00562309,0,6.16,-1.43781,0.243549,6.06768,-2.13711,0.151258,0,6.16,-1.36197,0.406203,6.22449,-2.06115,0.348416,0,6.16,-1.00635,0.100452,6.35294,-1.66633,-0.0369618,0,6.16,-0.826997,0.123693,6.28094,-1.40751,-0.0160784,0,6.16,-1.18625,0.137649,6.22577,-1.83603,0.00251189,0,6.16,-0.998069,0.461943,6.31484,-1.63605,0.396876,0,6.16,-1.53781,0.187119,6.14626,-2.28194,0.072087,0,6.16,-1.57842,0.386324,6.2263,-2.33872,0.321995,0,6.16,-1.52269,0.055846,6.17387,-2.26403,-0.104286,0,6.16,-0.921214,0.340997,6.30198,-1.53593,0.251072,0,
0.233338,7.56209,-1.53193,0.154971,8.04227,-2.28945,0.0450526,6.16,-1.35801,0.0355102,6.31986,-2.08255,-0.111399,0,6.16,-1.01013,0.58501,6.17585,-1.59725,0.596145,0,6.16,-1.24892,0.468734,6.35288,-1.95651,0.408396,0,6.16,-0.557663,0.699862,6.34347,-1.12526,0.679588,0,6.16,-1.09967,0.667742,6.30553,-1.76011,0.657742,0,6.16,-1.64163,0.107134,6.17999,-2.42765,-0.0294428,0,6.16,-1.1563,0.413326,6.2821,-1.82247,0.355692,0,6.16,-0.821182,0.405532,6.25763,-1.39299,0.345658,0,6.16,-0.695959,0.569843,6.35735,-1.30175,0.523663,0,6.16,-0.762651,0.679048,6.32717,-1.36229,0.664737,0,6.16,-1.17386,0.267772,6.15732,-1.80504,0.181047,0,6.16,-1.28977,0.20783,6.27426,-1.98811,0.0995702,0,6.16,-1.57622,0.288366,5.98726,-2.33354,0.22905,0,6.16,-1.55645,0.60989,6.18223,-2.31293,0.62823,0,6.16,-0.593212,0.251015,6.39573,-1.20364,0.139532,0,6.16,-1.47046,0.381911,6.16811,-2.20199,0.337349,0,6.16,-1.05394,0.356993,6.29055,-1.69952,0.281034,0,6.16,-0.729044,0.285871,6.40802,-1.37474,0.183247,0,6.16,-1.00411,0.249636,6.31171,-1.64502,0.148004,0,6.16,-0.652503,0.409013,6.32343,-1.22448,0.338825,0,6.16,-1.52173,0.48824,6.17753,-2.27121,0.47416,0,6.16,-0.528243,0.376394,6.4377,-1.16624,0.280864,0,6.16,-0.85441,0.244646,6.30643,-1.46002,0.14172,0,6.16,-0.59651,0.127703,6.36293,-1.18566,-0.00154866,0,6.16,-1.43781,0.243549,6.07308,-2.14556,0.15843,0,6.16,-1.36197,0.406203,6.23029,-2.06766,0.353696,0,6.16,-1.00635,0.100452,6.35885,-1.67346,-0.0319683,0,6.16,-0.826997,0.123693,6.3064,-1.42456,-0.0107158,0,6.16,-1.18625,0.137649,6.2318,-1.8435,0.00924174,0,6.16,-0.998069,0.461943,6.33047,-1.64462,0.397899,0,6.16,-1.53781,0.187119,6.1528,-2.29088,0.0822585,0,6.16,-1.57842,0.386324,6.23355,-2.34467,0.32877,0,6.16,-1.52269,0.055846,6.17728,-2.27098,-0.0975085,0,6.16,-0.921214,0.340997,6.32452,-1.54921,0.249489,0,
0.266672,7.56419,-1.50534,0.155425,8.04557,-2.27448,0.0454206,6.16,-1.35801,0.0355102,6.31628,-2.08457,-0.114211,0,6.16,-1.01013,0.58501,6.23349,-1.62621,0.578077,0,6.16,-1.24892,0.468734,6.34392,-1.95729,0.407628,0,6.16,-0.557663,0.699862,6.33082,-1.1191,0.684871,0,6.16,-1.09967,0.667742,6.2594,-1.74534,0.671919,0,6.16,-1.64163,0.107134,6.18767,-2.43007,-0.0298216,0,6.16,-1.1563,0.413326,6.2854,-1.82736,0.351956,0,6.16,-0.821182,0.405532,6.24676,-1.38904,0.343159,0,6.16,-0.695959,0.569843,6.34975,-1.2995,0.522237,0,6.16,-0.762651,0.679048,6.29816,-1.34753,0.670238,0,6.16,-1.17386,0.267772,6.15151,-1.80603,0.182167,0,6.16,-1.28977,0.20783,6.26978,-1.98875,0.099154,0,6.16,-1.57622,0.288366,5.98542,-2.3363,0.226205,0,6.16,-1.55645,0.60989,6.18063,-2.31349,0.624039,0,6.16,-0.593212,0.251015,6.3794,-1.19518,0.137032,0,6.16,-1.47046,0.381911,6.16476,-2.20311,0.33511,0,6.16,-1.05394,0.356993,6.28391,-1.70197,0.28085,0,6.16,-0.729044,0.285871,6.4061,-1.37518,0.177766,0,6.16,-1.00411,0.249636,6.3048,-1.64382,0.145715,0,6.16,-0.652503,0.409013,6.31338,-1.21978,0.336273,0,6.16,-1.52173,0.48824,6.18796,-2.2731,0.469642,0,6.16,-0.528243,0.376394,6.43808,-1.16565,0.276253,0,6.16,-0.85441,0.244646,6.29928,-1.45875,0.138647,0,6.16,-0.59651,0.127703,6.35856,-1.18423,-0.00576004,0,6.16,-1.43781,0.243549,6.07026,-2.14741,0.1564,0,6.16,-1.36197,0.406203,6.208,-2.06638,0.354735,0,6.16,-1.00635,0.100452,6.36512,-1.67698,-0.03297,0,6.16,-0.826997,0.123693,6.29533,-1.42197,-0.0152029,0,6.16,-1.18625,0.137649,6.2348,-1.84824,0.00654948,0,6.16,-0.998069,0.461943,6.32157,-1.64404,0.396904,0,6.16,-1.53781,0.187119,6.15225,-2.29245,0.0763595,0,6.16,-1.57842,0.386324,6.23378,-2.34524,0.326791,0,6.16,-1.52269,0.055846,6.17859,-2.2735,-0.0987335,0,6.16,-0.921214,0.340997,6.31516,-1.54041,0.246472,0,
0.300007,7.56419,-1.50534,0.155425,8.04829,-2.26249,0.0457133,6.16,-1.35801,0.0355102,6.32171,-2.0877,-0.116797,0,6.16,-1.01013,0.58501,6.23886,-1.63003,0.572214,0,6.16,-1.24892,0.468734,6.34865,-1.96247,0.40179,0,6.16,-0.557663,0.699862,6.34056,-1.12853,0.675748,0,6.16,-1.09967,0.667742,6.26467,-1.74875,0.664501,0,6.16,-1.64163,0.107134,6.18815,-2.43057,-0.0336226,0,6.16,-1.1563,0.413326,6.29151,-1.83109,0.346207,0,6.16,-0.821182,0.405532,6.25404,-1.39443,0.337666,0,6.16,-0.695959,0.569843,6.35723,-1.30489,0.515388,0,6.16,-0.762651,0.679048,6.30573,-1.35333,0.661905,0,6.16,-1.17386,0.267772,6.15804,-1.81088,0.177361,0,6.16,-1.28977,0.20783,6.27575,-1.99172,0.0940911,0,6.16,-1.57622,0.288366,5.98656,-2.3393,0.221624,0,6.16,-1.55645,0.60989,6.18253,-2.31701,0.623382,0,6.16,-0.593212,0.251015,6.38871,-1.208,0.134252,0,6.16,-1.47046,0.381911,6.16735,-2.20501,0.330563,0,6.16,-1.05394,0.356993,6.29126,-1.70642,0.275878,0,6.16,-0.729044,0.285871,6.41383,-1.37874,0.173877,0,6.16,-1.00411,0.249636,6.31206,-1.64835,0.141273,0,6.16,-0.652503,0.409013,6.32161,-1.22657,0.330682,0,6.16,-1.52173,0.48824,6.18907,-2.27429,0.465962,0,6.16,-0.528243,0.376394,6.44373,-1.17069,0.272158,0,6.16,-0.85441,0.244646,6.30782,-1.46348,0.131913,0,6.16,-0.59651,0.127703,6.36834,-1.1931,-0.00890171,0,6.16,-1.43781,0.243549,6.07408,-2.14939,0.151892,0,6.16,-1.36197,0.406203,6.21245,-2.06873,0.34987,0,6.16,-1.00635,0.100452,6.37367,-1.67762,-0.037647,0,6.16,-0.826997,0.123693,6.30514,-1.4293,-0.0196615,0,6.16,-1.18625,0.137649,6.24182,-1.85106,0.0020119,0,6.16,-0.998069,0.461943,6.32918,-1.64805,0.392011,0,6.16,-1.53781,0.187119,6.15299,-2.29488,0.0729625,0,6.16,-1.57842,0.386324,6.23408,-2.34641,0.322192,0,6.16,-1.52269,0.055846,6.18143,-2.27529,-0.102417,0,6.16,-0.921214,0.340997,6.3212,-1.54496,0.241691,0,
